portfolio_date,portfolio_pnl,portfolio_loss,position_pnl_sum,nav,funded_market_value,gross_funded_exposure,overlay_notional,rebalanced,holdings_version
2023-08-02,30023.74451369522,-30023.74451369522,30023.74451369522,9628190.992565248,9628190.992565248,9628190.992565248,719862.5436038665,False,8
2023-08-03,28737.275448807803,-28737.275448807803,28737.275448807803,9656928.268014057,9656928.268014057,9656928.268014057,719862.5436038665,False,8
2023-08-04,57443.60020749193,-57443.60020749193,57443.60020749193,9714371.868221547,9714371.868221547,9714371.868221547,719862.5436038665,False,8
2023-08-07,-58931.35516081357,58931.35516081357,-58931.35516081357,9655440.513060734,9655440.513060734,9655440.513060734,719862.5436038665,False,8
2023-08-08,218785.81264587937,-218785.81264587937,218785.81264587937,9874226.325706614,9874226.325706614,9874226.325706614,719862.5436038665,False,8
2023-08-09,-23410.610612581295,23410.610612581295,-23410.610612581295,9850815.715094032,9850815.715094032,9850815.715094032,719862.5436038665,False,8
2023-08-10,-33548.911050282346,33548.911050282346,-33548.911050282346,9817266.80404375,9817266.80404375,9817266.80404375,719862.5436038665,False,8
2023-08-11,17927.460917527253,-17927.460917527253,17927.460917527253,9835194.264961276,9835194.264961276,9835194.264961276,719862.5436038665,False,8
2023-08-14,-49295.7223496467,49295.7223496467,-49295.7223496467,9785898.54261163,9785898.54261163,9785898.54261163,719862.5436038665,False,8
2023-08-15,17063.0774431528,-17063.0774431528,17063.0774431528,9802961.620054785,9802961.620054785,9802961.620054785,719862.5436038665,False,8
2023-08-16,-21912.719423944443,21912.719423944443,-21912.719423944443,9781048.90063084,9781048.90063084,9781048.90063084,719862.5436038665,False,8
2023-08-17,52084.961285863625,-52084.961285863625,52084.961285863625,9833133.861916702,9833133.861916702,9833133.861916702,719862.5436038665,False,8
2023-08-18,-20320.914069732655,20320.914069732655,-20320.914069732655,9812812.947846971,9812812.947846971,9812812.947846971,719862.5436038665,False,8
2023-08-21,6290.678027371829,-6290.678027371829,6290.678027371829,9819103.625874342,9819103.625874342,9819103.625874342,719862.5436038665,False,8
2023-08-22,-37145.26308136027,37145.26308136027,-37145.26308136027,9781958.362792982,9781958.362792982,9781958.362792982,719862.5436038665,False,8
2023-08-23,-1768.8177793473408,1768.8177793473408,-1768.8177793473408,9780189.545013633,9780189.545013633,9780189.545013633,719862.5436038665,False,8
2023-08-24,38152.881876344356,-38152.881876344356,38152.881876344356,9818342.426889978,9818342.426889978,9818342.426889978,719862.5436038665,False,8
2023-08-25,-32306.910978962023,32306.910978962023,-32306.910978962023,9786035.515911017,9786035.515911017,9786035.515911017,719862.5436038665,False,8
2023-08-28,28896.069424451503,-28896.069424451503,28896.069424451503,9814931.585335469,9814931.585335469,9814931.585335469,719862.5436038665,False,8
2023-08-29,28415.849875841046,-28415.849875841046,28415.849875841046,9843347.43521131,9843347.43521131,9843347.43521131,719862.5436038665,False,8
2023-08-30,-16188.31330844013,16188.31330844013,-16188.31330844013,9827159.12190287,9827159.12190287,9827159.12190287,719862.5436038665,False,8
2023-08-31,-16169.329998613981,16169.329998613981,-16169.329998613981,9810989.791904256,9810989.791904256,9810989.791904256,719862.5436038665,False,8
2023-09-01,-67798.55631717238,67798.55631717238,-67798.55631717238,9743191.235587083,9743191.235587083,9743191.235587083,730739.3426690312,True,9
2023-09-04,21682.26199511403,-21682.26199511403,21682.26199511403,9764873.497582197,9764873.497582197,9764873.497582197,730739.3426690312,False,9
2023-09-05,-23902.816750742386,23902.816750742386,-23902.816750742386,9740970.680831457,9740970.680831457,9740970.680831457,730739.3426690312,False,9
2023-09-06,-43378.78325843981,43378.78325843981,-43378.78325843981,9697591.897573015,9697591.897573015,9697591.897573015,730739.3426690312,False,9
2023-09-07,2237.1076310443123,-2237.1076310443123,2237.1076310443123,9699829.00520406,9699829.00520406,9699829.00520406,730739.3426690312,False,9
2023-09-08,-9995.779222416557,9995.779222416557,-9995.779222416557,9689833.225981643,9689833.225981643,9689833.225981643,730739.3426690312,False,9
2023-09-11,-48931.13713277805,48931.13713277805,-48931.13713277805,9640902.088848865,9640902.088848865,9640902.088848865,730739.3426690312,False,9
2023-09-12,34112.4054027927,-34112.4054027927,34112.4054027927,9675014.494251657,9675014.494251657,9675014.494251657,730739.3426690312,False,9
2023-09-13,26625.989616867995,-26625.989616867995,26625.989616867995,9701640.483868526,9701640.483868526,9701640.483868526,730739.3426690312,False,9
2023-09-14,69877.89431854997,-69877.89431854997,69877.89431854997,9771518.378187075,9771518.378187075,9771518.378187075,730739.3426690312,False,9
2023-09-15,-24039.26590416993,24039.26590416993,-24039.26590416993,9747479.112282906,9747479.112282906,9747479.112282906,730739.3426690312,False,9
2023-09-18,30907.500572323614,-30907.500572323614,30907.500572323614,9778386.61285523,9778386.61285523,9778386.61285523,730739.3426690312,False,9
2023-09-19,-32624.07997640677,32624.07997640677,-32624.07997640677,9745762.532878824,9745762.532878824,9745762.532878824,730739.3426690312,False,9
2023-09-20,51821.02667240216,-51821.02667240216,51821.02667240216,9797583.559551224,9797583.559551224,9797583.559551224,730739.3426690312,False,9
2023-09-21,-4249.9271455467215,4249.9271455467215,-4249.9271455467215,9793333.632405678,9793333.632405678,9793333.632405678,730739.3426690312,False,9
2023-09-22,18794.676845027538,-18794.676845027538,18794.676845027538,9812128.309250705,9812128.309250705,9812128.309250705,730739.3426690312,False,9
2023-09-25,6308.19470261471,-6308.19470261471,6308.19470261471,9818436.503953319,9818436.503953319,9818436.503953319,730739.3426690312,False,9
2023-09-26,-14183.572313744397,14183.572313744397,-14183.572313744397,9804252.931639576,9804252.931639576,9804252.931639576,730739.3426690312,False,9
2023-09-27,-65674.8896152426,65674.8896152426,-65674.8896152426,9738578.042024333,9738578.042024333,9738578.042024333,730739.3426690312,False,9
2023-09-28,19192.822234553645,-19192.822234553645,19192.822234553645,9757770.864258885,9757770.864258885,9757770.864258885,730739.3426690312,False,9
2023-09-29,58797.245626270735,-58797.245626270735,58797.245626270735,9816568.109885158,9816568.109885158,9816568.109885158,730739.3426690312,False,9
